Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Guinea,Africa,13497024,24134,,179,,23379,,576,24,1788,13,476651,35315,Africa
Suriname,South America,592031,23463,,587,,19450,,3426,33,39631,992,84276,142351,Americas
Mauritania,Africa,4774650,21765,,495,,20314,,956,16,4558,104,327041,68495,Africa
Guyana,South America,790454,21002,,497,,19100,,1405,11,26570,629,202087,255659,Americas
Eswatini,Africa,1172499,20080,,695,,18495,,890,10,17126,593,231212,197196,Africa
Mayotte,Africa,279551,19450,,174,,2964,,16312,,69576,622,176919,632868,
Haiti,North America,11545208,19295,,482,,12961,,5852,,1671,42,93734,8119,Americas
French Polynesia,Australia/Oceania,282577,19034,,144,,18878,,12,,67359,510,26355,93267,
Papua New Guinea,Australia/Oceania,9120691,17340,,179,,16975,,186,7,1901,20,136187,14932,WesternPacific
Guadeloupe,North America,400194,17218,,233,,2250,,14735,23,43024,582,232770,581643,
Seychelles,Africa,98973,17005,,77,,16072,,856,,171815,778,21504,217271,Africa
Taiwan,Asia,23861123,15302,29,747,6,12838,,1717,,641,31,2963682,124205,WesternPacific
Somalia,Africa,16346502,15060,,779,,7263,,7018,,921,48,158574,9701,EasternMediterranean
Mali,Africa,20846960,14476,,528,,10405,,3543,,694,25,328129,15740,Africa
Togo,Africa,8477310,14278,,133,,13669,,476,,1684,16,377799,44566,Africa
Andorra,Europe,77392,14155,,127,,13787,,241,,182900,1641,193595,2501486,Europe
Tajikistan,Asia,9756955,13868,,104,,13553,,211,,1421,11,,,Europe
Belize,North America,405026,13561,,331,,12934,,296,2,33482,817,167129,412638,Americas
Burkina Faso,Africa,21489296,13520,,168,,13324,,28,,629,8,199857,9300,Africa
Bahamas,North America,397103,13024,,252,,11855,,917,2,32798,635,110140,277359,Americas
Congo,Africa,5657055,12790,,167,,11759,,864,,2261,30,158304,27983,Africa
Curaçao,North America,164783,12395,,126,,12221,,48,4,75220,765,149702,908480,
Martinique,North America,374965,12374,,98,,98,,12178,1,33000,261,200461,534613,
Fiji,Australia/Oceania,903120,12032,647,59,1,2221,230,9752,27,13323,65,238520,264107,WesternPacific
Hong Kong,Asia,7559472,11953,1,212,,11665,3,76,1,1581,28,20432586,2702912,WesternPacific
Lesotho,Africa,2159698,11903,,335,,6593,,4975,,5511,155,120073,55597,Africa
Djibouti,Africa,1002739,11621,,155,,11454,,12,,11589,155,180276,179784,EasternMediterranean
Aruba,North America,107232,11169,,107,,11029,,33,14,104157,998,177885,1658880,
South Sudan,Africa,11328448,10891,,117,,10514,,260,,961,10,174045,15364,Africa
Timor-Leste,Asia,1344176,9906,44,25,,8980,52,901,,7370,19,94367,70204,South-EastAsia
Equatorial Guinea,Africa,1450042,8815,,122,,8583,,110,1,6079,84,149330,102983,Africa
Nicaragua,North America,6705460,8461,,192,,4225,,4044,,1262,29,,,Americas
Benin,Africa,12447957,8227,,105,,8000,,122,5,661,8,604310,48547,Africa
CAR,Africa,4915849,7142,,98,,6859,,185,2,1453,20,54814,11150,
Yemen,Asia,30498538,6961,9,1366,,4147,5,1448,23,228,45,127681,4186,EasternMediterranean
Iceland,Europe,343519,6675,,30,,6611,,34,1,19431,87,791076,2302860,Europe
Gambia,Africa,2486069,6328,,185,,5914,,229,3,2545,74,85841,34529,Africa
Eritrea,Africa,3596782,6284,,29,,5842,,413,,1747,8,23693,6587,Africa
Sierra Leone,Africa,8143148,6046,,112,,3996,,1938,,742,14,158793,19500,Africa
Burundi,Africa,12252628,5686,,8,,773,,4905,,464,0.7,345742,28218,Africa
Channel Islands,Europe,175509,5662,,86,,4162,,1414,,32260,490,563229,3209117,
Niger,Africa,25100401,5538,,194,,5230,,114,2,221,8,122471,4879,Africa
Saint Lucia,North America,184490,5416,,86,,5195,,135,,29357,466,56010,303594,Americas
Liberia,Africa,5179345,5215,,144,,2606,,2465,2,1007,28,125690,24268,Africa
San Marino,Europe,34004,5092,,90,,5002,,0,,149747,2647,69114,2032526,Europe
Chad,Africa,16907594,4954,,174,,4777,,3,,293,10,128408,7595,Africa
Gibraltar,Europe,33681,4460,23,94,,4266,12,100,1,132419,2791,289667,8600309,
Barbados,North America,287737,4186,,48,,4074,,64,,14548,167,194896,677341,Americas
Comoros,Africa,888571,3996,,146,,3798,,52,,4497,164,,,Africa
Guinea-Bissau,Africa,2015604,3947,,70,,3632,,245,4,1958,35,75548,37482,Africa
Liechtenstein,Europe,38241,3058,,59,,2977,,22,3,79967,1543,49126,1284642,Europe
Laos,Asia,7383866,2901,76,3,,2174,,724,,393,0.4,305013,41308,WesternPacific
New Zealand,Australia/Oceania,5002100,2786,18,26,,2717,8,43,,557,5,2353967,470596,WesternPacific
Sint Maarten,North America,43376,2641,,34,,2588,,19,2,60886,784,35043,807889,
Monaco,Europe,39528,2624,,33,,2548,,43,5,66383,835,54960,1390407,Europe
Bermuda,North America,62041,2521,,33,,2477,,11,7,40634,532,333967,5383005,Americas
Turks and Caicos,North America,39254,2436,,18,,2400,,18,2,62057,459,94789,2414760,
Sao Tome and Principe,Africa,223330,2392,,37,,2327,,28,,10711,166,14270,63896,Africa
Saint Martin,North America,39342,2373,,38,,1399,,936,7,60317,966,40350,1025621,
Bhutan,Asia,780332,2290,,1,,1986,,303,,2935,1,798573,1023376,South-EastAsia
St. Vincent Grenadines,North America,111302,2245,,12,,2149,,84,2,20170,108,57054,512605,
Mauritius,Africa,1273939,1858,,18,,1534,,306,,1458,14,358675,281548,Africa
Isle of Man,Europe,85496,1709,,29,,1578,,102,1,19989,339,83753,979613,
Caribbean Netherlands,North America,26473,1660,,17,,1631,,12,,62705,642,12091,456729,
Antigua and Barbuda,North America,98762,1266,,42,,1222,,2,,12819,425,16799,170096,Americas
British Virgin Islands,North America,30438,1147,,3,,312,,832,,37683,99,57201,1879263,
St. Barth,North America,9908,1005,,1,,462,,542,,101433,101,26385,2663000,
